"ID","post_author","post_date","post_date_gmt","post_content","post_title","post_excerpt","post_status","comment_status","ping_status","post_password","post_name","to_ping","pinged","post_modified","post_modified_gmt","post_content_filtered","post_parent","guid","menu_order","post_type","post_mime_type","comment_count"
"983","1","2023-11-03 20:14:01","2023-11-03 20:14:01","{
    ""woostify::custom_logo"": {
        ""value"": 988,
        ""type"": ""theme_mod"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2023-11-03 20:14:01""
    }
}",,,"trash","closed","closed",,"8fdc95a0-fdd3-48e2-b407-35a9315d6ec9",,,"2023-11-03 20:14:01","2023-11-03 20:14:01",,"0","http://137.184.5.121/trabajo/?p=983","0","customize_changeset",,"0"
"984","1","2023-11-03 19:58:36","2023-11-03 19:58:36","[products limit=8 paginate=true columns=4 orderby=""date""]","Shop Full Width",,"inherit","closed","closed",,"590-revision-v1",,,"2023-11-03 19:58:36","2023-11-03 19:58:36",,"590","http://137.184.5.121/trabajo/?p=984","0","revision",,"0"
"985","1","2023-11-03 20:09:24","2023-11-03 20:09:24",,"Diseño sin título",,"inherit","open","closed",,"diseno-sin-titulo",,,"2023-11-03 20:09:24","2023-11-03 20:09:24",,"0","http://137.184.5.121/trabajo/wp-content/uploads/2023/11/Diseno-sin-titulo.jpg","0","attachment","image/jpeg","0"
"986","1","2023-11-03 20:09:31","2023-11-03 20:09:31","http://137.184.5.121/trabajo/wp-content/uploads/2023/11/cropped-Diseno-sin-titulo.jpg","cropped-Diseno-sin-titulo.jpg",,"inherit","open","closed",,"cropped-diseno-sin-titulo-jpg",,,"2023-11-03 20:09:31","2023-11-03 20:09:31",,"0","http://137.184.5.121/trabajo/wp-content/uploads/2023/11/cropped-Diseno-sin-titulo.jpg","0","attachment","image/jpeg","0"
"987","1","2023-11-03 20:09:52","2023-11-03 20:09:52","http://137.184.5.121/trabajo/wp-content/uploads/2023/11/cropped-Diseno-sin-titulo-1.jpg","cropped-Diseno-sin-titulo-1.jpg",,"inherit","open","closed",,"cropped-diseno-sin-titulo-1-jpg",,,"2023-11-03 20:09:52","2023-11-03 20:09:52",,"0","http://137.184.5.121/trabajo/wp-content/uploads/2023/11/cropped-Diseno-sin-titulo-1.jpg","0","attachment","image/jpeg","0"
"988","1","2023-11-03 20:13:42","2023-11-03 20:13:42",,"Montana2",,"inherit","open","closed",,"montana2",,,"2023-11-03 20:13:42","2023-11-03 20:13:42",,"0","http://137.184.5.121/trabajo/wp-content/uploads/2023/11/Montana2.jpg","0","attachment","image/jpeg","0"
"989","1","2023-11-03 20:16:59","2023-11-03 20:16:59",,"Montana333",,"inherit","open","closed",,"montana333",,,"2023-11-03 20:16:59","2023-11-03 20:16:59",,"0","http://137.184.5.121/trabajo/wp-content/uploads/2023/11/Montana333.png","0","attachment","image/png","0"
"990","1","2023-11-03 20:17:11","2023-11-03 20:17:11","{
    ""woostify::custom_logo"": {
        ""value"": 989,
        ""type"": ""theme_mod"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2023-11-03 20:17:10""
    }
}",,,"trash","closed","closed",,"7e17f7fe-37a7-4133-9fe5-43452ba5d796",,,"2023-11-03 20:17:11","2023-11-03 20:17:11",,"0","http://137.184.5.121/trabajo/?p=990","0","customize_changeset",,"0"
"991","1","2023-11-03 20:18:48","2023-11-03 20:18:48","{
    ""woocommerce_demo_store"": {
        ""value"": false,
        ""type"": ""option"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2023-11-03 20:18:48""
    },
    ""woocommerce_demo_store_notice"": {
        ""value"": """",
        ""type"": ""option"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2023-11-03 20:18:48""
    }
}",,,"trash","closed","closed",,"4040537c-5afc-4d52-95c7-fafc746d22e6",,,"2023-11-03 20:18:48","2023-11-03 20:18:48",,"0","http://137.184.5.121/trabajo/index.php/2023/11/03/4040537c-5afc-4d52-95c7-fafc746d22e6/","0","customize_changeset",,"0"
"992","1","2023-11-03 20:20:16","2023-11-03 20:20:16",,"Montana3232",,"inherit","open","closed",,"montana3232",,,"2023-11-03 20:20:16","2023-11-03 20:20:16",,"0","http://137.184.5.121/trabajo/wp-content/uploads/2023/11/Montana3232.png","0","attachment","image/png","0"
"993","1","2023-11-03 20:20:27","2023-11-03 20:20:27","{
    ""woostify::custom_logo"": {
        ""value"": 992,
        ""type"": ""theme_mod"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2023-11-03 20:20:27""
    }
}",,,"trash","closed","closed",,"4dc26beb-1c6c-475a-981f-4e3f053c100a",,,"2023-11-03 20:20:27","2023-11-03 20:20:27",,"0","http://137.184.5.121/trabajo/index.php/2023/11/03/4dc26beb-1c6c-475a-981f-4e3f053c100a/","0","customize_changeset",,"0"
"994","1","2023-11-03 20:23:12","2023-11-03 20:23:12","{
    ""woostify_setting[extra_color_1]"": {
        ""value"": ""#fd0"",
        ""type"": ""option"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2023-11-03 20:22:59""
    },
    ""woostify_setting[topbar_display]"": {
        ""value"": false,
        ""type"": ""option"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2023-11-03 20:23:12""
    },
    ""woostify_setting[topbar_center]"": {
        ""value"": """",
        ""type"": ""option"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2023-11-03 20:23:12""
    }
}",,,"trash","closed","closed",,"759d73dd-86fe-47f5-810b-89e320db3f46",,,"2023-11-03 20:23:12","2023-11-03 20:23:12",,"0","http://137.184.5.121/trabajo/?p=994","0","customize_changeset",,"0"
"995","1","2023-11-03 20:24:44","2023-11-03 20:24:44","{
    ""woostify_setting[button_text_color]"": {
        ""value"": ""#ffffff"",
        ""type"": ""option"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2023-11-03 20:24:44""
    },
    ""woostify_setting[button_hover_text_color]"": {
        ""value"": ""#ffffff"",
        ""type"": ""option"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2023-11-03 20:24:44""
    },
    ""woostify_setting[button_background_color]"": {
        ""value"": ""rgba(107, 33, 184, 1)"",
        ""type"": ""option"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2023-11-03 20:24:44""
    },
    ""woostify_setting[button_hover_background_color]"": {
        ""value"": ""rgba(107, 33, 184, 1)"",
        ""type"": ""option"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2023-11-03 20:24:44""
    }
}",,,"trash","closed","closed",,"65a240be-eddb-45fd-963c-e0fca313b873",,,"2023-11-03 20:24:44","2023-11-03 20:24:44",,"0","http://137.184.5.121/trabajo/index.php/2023/11/03/65a240be-eddb-45fd-963c-e0fca313b873/","0","customize_changeset",,"0"
"996","1","2023-11-03 20:28:12","2023-11-03 20:28:12","{
    ""woostify_setting[heading_color]"": {
        ""value"": ""rgba(237, 147, 11, 1)"",
        ""type"": ""option"",
        ""user_id"": 1,
        ""date_modified_gmt"": ""2023-11-03 20:27:59""
    }
}",,,"trash","closed","closed",,"cdbac1b2-de1a-4596-952a-4f1b158cf825",,,"2023-11-03 20:28:12","2023-11-03 20:28:12",,"0","http://137.184.5.121/trabajo/?p=996","0","customize_changeset",,"0"
"998","1","2023-11-03 20:35:32","2023-11-03 20:35:32",,"ruben2",,"inherit","open","closed",,"ruben2",,,"2023-11-03 20:35:32","2023-11-03 20:35:32",,"924","http://137.184.5.121/trabajo/wp-content/uploads/2023/11/ruben2.jpg","0","attachment","image/jpeg","0"
"999","1","2023-11-03 20:36:55","2023-11-03 20:36:55",,"ruben4",,"inherit","open","closed",,"ruben4",,,"2023-11-03 20:36:55","2023-11-03 20:36:55",,"924","http://137.184.5.121/trabajo/wp-content/uploads/2023/11/ruben4.jpg","0","attachment","image/jpeg","0"
"1000","1","2023-11-03 20:42:55","2023-11-03 20:42:55","<style>/*! elementor - v3.17.0 - 01-11-2023 */
.elementor-column .elementor-spacer-inner{height:var(--spacer-size)}.e-con{--container-widget-width:100%}.e-con-inner>.elementor-widget-spacer,.e-con>.elementor-widget-spacer{width:var(--container-widget-width,var(--spacer-size));--align-self:var(--container-widget-align-self,initial);--flex-shrink:0}.e-con-inner>.elementor-widget-spacer>.elementor-widget-container,.e-con>.elementor-widget-spacer>.elementor-widget-container{height:100%;width:100%}.e-con-inner>.elementor-widget-spacer>.elementor-widget-container>.elementor-spacer,.e-con>.elementor-widget-spacer>.elementor-widget-container>.elementor-spacer{height:100%}.e-con-inner>.elementor-widget-spacer>.elementor-widget-container>.elementor-spacer>.elementor-spacer-inner,.e-con>.elementor-widget-spacer>.elementor-widget-container>.elementor-spacer>.elementor-spacer-inner{height:var(--container-widget-height,var(--spacer-size))}.e-con-inner>.elementor-widget-spacer.elementor-widget-empty,.e-con>.elementor-widget-spacer.elementor-widget-empty{position:relative;min-height:22px;min-width:22px}.e-con-inner>.elementor-widget-spacer.elementor-widget-empty .elementor-widget-empty-icon,.e-con>.elementor-widget-spacer.elementor-widget-empty .elementor-widget-empty-icon{position:absolute;top:0;bottom:0;left:0;right:0;margin:auto;padding:0;width:22px;height:22px}</style>		
			<style>/*! elementor - v3.17.0 - 01-11-2023 */
.elementor-widget-image{text-align:center}.elementor-widget-image a{display:inline-block}.elementor-widget-image a img[src$="".svg""]{width:48px}.elementor-widget-image img{vertical-align:middle;display:inline-block}</style>												<img width=""300"" height=""235"" src=""http://137.184.5.121/trabajo/wp-content/uploads/2023/11/upvlogo2-300x235.png"" alt="""" srcset=""http://137.184.5.121/trabajo/wp-content/uploads/2023/11/upvlogo2-300x235.png 300w, http://137.184.5.121/trabajo/wp-content/uploads/2023/11/upvlogo2-1024x800.png 1024w, http://137.184.5.121/trabajo/wp-content/uploads/2023/11/upvlogo2-768x600.png 768w, http://137.184.5.121/trabajo/wp-content/uploads/2023/11/upvlogo2-600x469.png 600w, http://137.184.5.121/trabajo/wp-content/uploads/2023/11/upvlogo2.png 1095w"" sizes=""(max-width: 300px) 100vw, 300px"" />															
		<p>Nosotros somos el equipo 12, a continuación nos estaremos presentando, nuestro servicio es venta de sneakers, esperemos y les agrade este concepto de nuestra tienda.</p>		
																<a href=""https://woostify.com/demos/free/urbanstyle/product-category/womens/pros/335/pros/335/pros/335/pros/335/"">
							<img src=""http://137.184.5.121/trabajo/wp-content/uploads/2019/08/image01.jpg"" title=""image01"" alt=""image01"" loading=""lazy"" />								</a>
			<style>/*! elementor - v3.17.0 - 01-11-2023 */
.elementor-heading-title{padding:0;margin:0;line-height:1}.elementor-widget-heading .elementor-heading-title[class*=elementor-size-]>a{color:inherit;font-size:inherit;line-height:inherit}.elementor-widget-heading .elementor-heading-title.elementor-size-small{font-size:15px}.elementor-widget-heading .elementor-heading-title.elementor-size-medium{font-size:19px}.elementor-widget-heading .elementor-heading-title.elementor-size-large{font-size:29px}.elementor-widget-heading .elementor-heading-title.elementor-size-xl{font-size:39px}.elementor-widget-heading .elementor-heading-title.elementor-size-xxl{font-size:59px}</style>Mens		
																<a href=""https://woostify.com/demos/free/urbanstyle/product-category/womens/pros/335/pros/335/pros/335/pros/335/"">
							<img width=""370"" height=""500"" src=""http://137.184.5.121/trabajo/wp-content/uploads/2019/08/image03.jpg"" alt="""" srcset=""http://137.184.5.121/trabajo/wp-content/uploads/2019/08/image03.jpg 370w, http://137.184.5.121/trabajo/wp-content/uploads/2019/08/image03-222x300.jpg 222w"" sizes=""(max-width: 370px) 100vw, 370px"" />								</a>
			Accessories		
			<h2>Featured Products</h2>		
			<h2><a href=""https://woostify.com/demos/urbanstyle/shop/pros/335/pros/335/pros/335/pros/335/"">View all products</a></h2>		
			<h2>Subscribe to our list</h2>		
			<style>/*! elementor - v3.17.0 - 01-11-2023 */
.elementor-widget-divider{--divider-border-style:none;--divider-border-width:1px;--divider-color:#0c0d0e;--divider-icon-size:20px;--divider-element-spacing:10px;--divider-pattern-height:24px;--divider-pattern-size:20px;--divider-pattern-url:none;--divider-pattern-repeat:repeat-x}.elementor-widget-divider .elementor-divider{display:flex}.elementor-widget-divider .elementor-divider__text{font-size:15px;line-height:1;max-width:95%}.elementor-widget-divider .elementor-divider__element{margin:0 var(--divider-element-spacing);flex-shrink:0}.elementor-widget-divider .elementor-icon{font-size:var(--divider-icon-size)}.elementor-widget-divider .elementor-divider-separator{display:flex;margin:0;direction:ltr}.elementor-widget-divider--view-line_icon .elementor-divider-separator,.elementor-widget-divider--view-line_text .elementor-divider-separator{align-items:center}.elementor-widget-divider--view-line_icon .elementor-divider-separator:after,.elementor-widget-divider--view-line_icon .elementor-divider-separator:before,.elementor-widget-divider--view-line_text .elementor-divider-separator:after,.elementor-widget-divider--view-line_text .elementor-divider-separator:before{display:block;content:"""";border-bottom:0;flex-grow:1;border-top:var(--divider-border-width) var(--divider-border-style) var(--divider-color)}.elementor-widget-divider--element-align-left .elementor-divider .elementor-divider-separator>.elementor-divider__svg:first-of-type{flex-grow:0;flex-shrink:100}.elementor-widget-divider--element-align-left .elementor-divider-separator:before{content:none}.elementor-widget-divider--element-align-left .elementor-divider__element{margin-left:0}.elementor-widget-divider--element-align-right .elementor-divider .elementor-divider-separator>.elementor-divider__svg:last-of-type{flex-grow:0;flex-shrink:100}.elementor-widget-divider--element-align-right .elementor-divider-separator:after{content:none}.elementor-widget-divider--element-align-right .elementor-divider__element{margin-right:0}.elementor-widget-divider:not(.elementor-widget-divider--view-line_text):not(.elementor-widget-divider--view-line_icon) .elementor-divider-separator{border-top:var(--divider-border-width) var(--divider-border-style) var(--divider-color)}.elementor-widget-divider--separator-type-pattern{--divider-border-style:none}.elementor-widget-divider--separator-type-pattern.elementor-widget-divider--view-line .elementor-divider-separator,.elementor-widget-divider--separator-type-pattern:not(.elementor-widget-divider--view-line) .elementor-divider-separator:after,.elementor-widget-divider--separator-type-pattern:not(.elementor-widget-divider--view-line) .elementor-divider-separator:before,.elementor-widget-divider--separator-type-pattern:not([class*=elementor-widget-divider--view]) .elementor-divider-separator{width:100%;min-height:var(--divider-pattern-height);-webkit-mask-size:var(--divider-pattern-size) 100%;mask-size:var(--divider-pattern-size) 100%;-webkit-mask-repeat:var(--divider-pattern-repeat);mask-repeat:var(--divider-pattern-repeat);background-color:var(--divider-color);-webkit-mask-image:var(--divider-pattern-url);mask-image:var(--divider-pattern-url)}.elementor-widget-divider--no-spacing{--divider-pattern-size:auto}.elementor-widget-divider--bg-round{--divider-pattern-repeat:round}.rtl .elementor-widget-divider .elementor-divider__text{direction:rtl}.e-con-inner>.elementor-widget-divider,.e-con>.elementor-widget-divider{width:var(--container-widget-width,100%);--flex-grow:var(--container-widget-flex-grow)}</style>		
		[contact-form-7 id=""211"" title=""Footer Subscribe""]","Introducci",,"inherit","closed","closed",,"924-revision-v1",,,"2023-11-03 20:42:55","2023-11-03 20:42:55",,"924","http://137.184.5.121/trabajo/?p=1000","0","revision",,"0"
"1001","1","2023-11-03 20:42:55","2023-11-03 20:42:55","<style>/*! elementor - v3.17.0 - 01-11-2023 */
.elementor-column .elementor-spacer-inner{height:var(--spacer-size)}.e-con{--container-widget-width:100%}.e-con-inner>.elementor-widget-spacer,.e-con>.elementor-widget-spacer{width:var(--container-widget-width,var(--spacer-size));--align-self:var(--container-widget-align-self,initial);--flex-shrink:0}.e-con-inner>.elementor-widget-spacer>.elementor-widget-container,.e-con>.elementor-widget-spacer>.elementor-widget-container{height:100%;width:100%}.e-con-inner>.elementor-widget-spacer>.elementor-widget-container>.elementor-spacer,.e-con>.elementor-widget-spacer>.elementor-widget-container>.elementor-spacer{height:100%}.e-con-inner>.elementor-widget-spacer>.elementor-widget-container>.elementor-spacer>.elementor-spacer-inner,.e-con>.elementor-widget-spacer>.elementor-widget-container>.elementor-spacer>.elementor-spacer-inner{height:var(--container-widget-height,var(--spacer-size))}.e-con-inner>.elementor-widget-spacer.elementor-widget-empty,.e-con>.elementor-widget-spacer.elementor-widget-empty{position:relative;min-height:22px;min-width:22px}.e-con-inner>.elementor-widget-spacer.elementor-widget-empty .elementor-widget-empty-icon,.e-con>.elementor-widget-spacer.elementor-widget-empty .elementor-widget-empty-icon{position:absolute;top:0;bottom:0;left:0;right:0;margin:auto;padding:0;width:22px;height:22px}</style>		
			<style>/*! elementor - v3.17.0 - 01-11-2023 */
.elementor-widget-image{text-align:center}.elementor-widget-image a{display:inline-block}.elementor-widget-image a img[src$="".svg""]{width:48px}.elementor-widget-image img{vertical-align:middle;display:inline-block}</style>												<img width=""300"" height=""235"" src=""http://137.184.5.121/trabajo/wp-content/uploads/2023/11/upvlogo2-300x235.png"" alt="""" srcset=""http://137.184.5.121/trabajo/wp-content/uploads/2023/11/upvlogo2-300x235.png 300w, http://137.184.5.121/trabajo/wp-content/uploads/2023/11/upvlogo2-1024x800.png 1024w, http://137.184.5.121/trabajo/wp-content/uploads/2023/11/upvlogo2-768x600.png 768w, http://137.184.5.121/trabajo/wp-content/uploads/2023/11/upvlogo2-600x469.png 600w, http://137.184.5.121/trabajo/wp-content/uploads/2023/11/upvlogo2.png 1095w"" sizes=""(max-width: 300px) 100vw, 300px"" />															
		<p>Nosotros somos el equipo 12, a continuación nos estaremos presentando, nuestro servicio es venta de sneakers, esperemos y les agrade este concepto de nuestra tienda.</p>		
																<a href=""https://woostify.com/demos/free/urbanstyle/product-category/womens/pros/335/pros/335/pros/335/pros/335/"">
							<img src=""http://137.184.5.121/trabajo/wp-content/uploads/2019/08/image01.jpg"" title=""image01"" alt=""image01"" loading=""lazy"" />								</a>
			<style>/*! elementor - v3.17.0 - 01-11-2023 */
.elementor-heading-title{padding:0;margin:0;line-height:1}.elementor-widget-heading .elementor-heading-title[class*=elementor-size-]>a{color:inherit;font-size:inherit;line-height:inherit}.elementor-widget-heading .elementor-heading-title.elementor-size-small{font-size:15px}.elementor-widget-heading .elementor-heading-title.elementor-size-medium{font-size:19px}.elementor-widget-heading .elementor-heading-title.elementor-size-large{font-size:29px}.elementor-widget-heading .elementor-heading-title.elementor-size-xl{font-size:39px}.elementor-widget-heading .elementor-heading-title.elementor-size-xxl{font-size:59px}</style>Mens		
																<a href=""https://woostify.com/demos/free/urbanstyle/product-category/womens/pros/335/pros/335/pros/335/pros/335/"">
							<img width=""370"" height=""500"" src=""http://137.184.5.121/trabajo/wp-content/uploads/2019/08/image03.jpg"" alt="""" srcset=""http://137.184.5.121/trabajo/wp-content/uploads/2019/08/image03.jpg 370w, http://137.184.5.121/trabajo/wp-content/uploads/2019/08/image03-222x300.jpg 222w"" sizes=""(max-width: 370px) 100vw, 370px"" />								</a>
			Accessories		
			<h2>Featured Products</h2>		
			<h2><a href=""https://woostify.com/demos/urbanstyle/shop/pros/335/pros/335/pros/335/pros/335/"">View all products</a></h2>		
			<h2>Subscribe to our list</h2>		
			<style>/*! elementor - v3.17.0 - 01-11-2023 */
.elementor-widget-divider{--divider-border-style:none;--divider-border-width:1px;--divider-color:#0c0d0e;--divider-icon-size:20px;--divider-element-spacing:10px;--divider-pattern-height:24px;--divider-pattern-size:20px;--divider-pattern-url:none;--divider-pattern-repeat:repeat-x}.elementor-widget-divider .elementor-divider{display:flex}.elementor-widget-divider .elementor-divider__text{font-size:15px;line-height:1;max-width:95%}.elementor-widget-divider .elementor-divider__element{margin:0 var(--divider-element-spacing);flex-shrink:0}.elementor-widget-divider .elementor-icon{font-size:var(--divider-icon-size)}.elementor-widget-divider .elementor-divider-separator{display:flex;margin:0;direction:ltr}.elementor-widget-divider--view-line_icon .elementor-divider-separator,.elementor-widget-divider--view-line_text .elementor-divider-separator{align-items:center}.elementor-widget-divider--view-line_icon .elementor-divider-separator:after,.elementor-widget-divider--view-line_icon .elementor-divider-separator:before,.elementor-widget-divider--view-line_text .elementor-divider-separator:after,.elementor-widget-divider--view-line_text .elementor-divider-separator:before{display:block;content:"""";border-bottom:0;flex-grow:1;border-top:var(--divider-border-width) var(--divider-border-style) var(--divider-color)}.elementor-widget-divider--element-align-left .elementor-divider .elementor-divider-separator>.elementor-divider__svg:first-of-type{flex-grow:0;flex-shrink:100}.elementor-widget-divider--element-align-left .elementor-divider-separator:before{content:none}.elementor-widget-divider--element-align-left .elementor-divider__element{margin-left:0}.elementor-widget-divider--element-align-right .elementor-divider .elementor-divider-separator>.elementor-divider__svg:last-of-type{flex-grow:0;flex-shrink:100}.elementor-widget-divider--element-align-right .elementor-divider-separator:after{content:none}.elementor-widget-divider--element-align-right .elementor-divider__element{margin-right:0}.elementor-widget-divider:not(.elementor-widget-divider--view-line_text):not(.elementor-widget-divider--view-line_icon) .elementor-divider-separator{border-top:var(--divider-border-width) var(--divider-border-style) var(--divider-color)}.elementor-widget-divider--separator-type-pattern{--divider-border-style:none}.elementor-widget-divider--separator-type-pattern.elementor-widget-divider--view-line .elementor-divider-separator,.elementor-widget-divider--separator-type-pattern:not(.elementor-widget-divider--view-line) .elementor-divider-separator:after,.elementor-widget-divider--separator-type-pattern:not(.elementor-widget-divider--view-line) .elementor-divider-separator:before,.elementor-widget-divider--separator-type-pattern:not([class*=elementor-widget-divider--view]) .elementor-divider-separator{width:100%;min-height:var(--divider-pattern-height);-webkit-mask-size:var(--divider-pattern-size) 100%;mask-size:var(--divider-pattern-size) 100%;-webkit-mask-repeat:var(--divider-pattern-repeat);mask-repeat:var(--divider-pattern-repeat);background-color:var(--divider-color);-webkit-mask-image:var(--divider-pattern-url);mask-image:var(--divider-pattern-url)}.elementor-widget-divider--no-spacing{--divider-pattern-size:auto}.elementor-widget-divider--bg-round{--divider-pattern-repeat:round}.rtl .elementor-widget-divider .elementor-divider__text{direction:rtl}.e-con-inner>.elementor-widget-divider,.e-con>.elementor-widget-divider{width:var(--container-widget-width,100%);--flex-grow:var(--container-widget-flex-grow)}</style>		
		[contact-form-7 id=""211"" title=""Footer Subscribe""]","Introducci",,"inherit","closed","closed",,"924-revision-v1",,,"2023-11-03 20:42:55","2023-11-03 20:42:55",,"924","http://137.184.5.121/trabajo/?p=1001","0","revision",,"0"
